search URL:,https://patents.google.com/?q=bike
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6367832B1,Retractable bike fender and housing assembly ,Tim Vogel,Tim Vogel,2000-03-16,2000-03-16,2002-04-09,2002-04-09,https://patents.google.com/patent/US6367832B1/en
US20060232040A1,Scooter Bike ,Isaac Franco,Isaac Franco,2005-04-13,2006-04-13,2006-10-19,,https://patents.google.com/patent/US20060232040A1/en
US4895385A,Kit for converting a bicycle to a dual wheel driven cycle ,Becoat Billie J,Billie J. Becoat,1987-09-18,1987-09-18,1990-01-23,1990-01-23,https://patents.google.com/patent/US4895385A/en
US6070894A,Arm-powered wheeled vehicle with bicycle-type cranks ,Augspurger; Michael Wayne,Michael Wayne Augspurger,1997-09-19,1997-09-19,2000-06-06,2000-06-06,https://patents.google.com/patent/US6070894A/en
US6003639A,Bicycle brake system ,"Hayes Brake, Inc.","James A. Buckley, George H. Hinkens, Korey Johnson",1997-08-29,1999-01-15,1999-12-21,1999-12-21,https://patents.google.com/patent/US6003639A/en
US4433787A,Coin operated bicycle locking rack ,"Cook Steven F, Burlingame Glen E","Steven F. Cook, Glen E. Burlingame",1981-06-05,1981-06-05,1984-02-28,1984-02-28,https://patents.google.com/patent/US4433787A/en
US5584494A,Fitted recumbent bicycle frame building process ,Krumm; Paul J.,Paul J. Krumm,1994-07-25,1995-05-30,1996-12-17,1996-12-17,https://patents.google.com/patent/US5584494A/en
CN1736793A,Completely folding shock absorption bicycle ,唐山市蓝剑车业有限公司,"富松林, 李勤, 富子刚",2004-08-16,2004-08-16,2006-02-22,,https://patents.google.com/patent/CN1736793A/en
US20090078512A1,Light weight bicycle brake assembly ,"Craig Hawley Edwards, Bruce Philip Edwards","Craig Hawley Edwards, Bruce Philip Edwards",2007-09-26,2008-09-26,2009-03-26,,https://patents.google.com/patent/US20090078512A1/en
US6491195B1,Carrier device ,"Mclemore John D., Mclemore Don","John D. McLemore, Don McLemore",1999-08-25,2000-08-23,2002-12-10,2002-12-10,https://patents.google.com/patent/US6491195B1/en
US5224396A,Bicycle handlebar pivotal connection ,"Profile For Speed, Inc.","Edward A. Lobbezoo, Scott H. Micoley",1992-05-14,1992-05-14,1993-07-06,1993-07-06,https://patents.google.com/patent/US5224396A/en
US5979722A,Combination backpack and splash guard for bicycle rider ,Gonzales; Karen D.,Karen D. Gonzales,1997-01-06,1998-01-03,1999-11-09,1999-11-09,https://patents.google.com/patent/US5979722A/en
US20030171190A1,Games controllers ,Rice Michael Joseph Patrick,Michael Rice,2000-03-21,2001-03-21,2003-09-11,,https://patents.google.com/patent/US20030171190A1/en
US4951487A,Bicycle wheel locking means ,Sheils Dennis,Sheils Dennis,1989-07-14,1989-07-14,1990-08-28,1990-08-28,https://patents.google.com/patent/US4951487A/en
US4033160A,Bicycle lock ,Mima James J,James J. Mima,1976-03-08,1976-03-08,1977-07-05,1977-07-05,https://patents.google.com/patent/US4033160A/en
US3924751A,Bike rack hoist ,Central Specialties Inc,William G Ballenger,1974-05-06,1974-05-06,1975-12-09,1975-12-09,https://patents.google.com/patent/US3924751A/en
US20070170688A1,Real-Time Bicycle-Mounted Pedal Stroke Power Analysis System ,Watson Edward M,Edward M. Watson,2006-01-25,2007-01-24,2007-07-26,,https://patents.google.com/patent/US20070170688A1/en
US4088882A,Fluorescent bike lamp ,Lewis Donald J,Donald J. Lewis,1975-08-12,1975-08-12,1978-05-09,1978-05-09,https://patents.google.com/patent/US4088882A/en
US5324059A,Aerodynamic bicycle ,Bryne Richard M,Richard M. Bryne,1992-03-25,1993-09-21,1994-06-28,1994-06-28,https://patents.google.com/patent/US5324059A/en
US5129665A,Bicycle frame with one or two improved wishbone stays ,Roadmaster Corporation,"Edmund E. Sutter, George E. Clarke, Randy D. Kurth",1990-11-21,1990-11-21,1992-07-14,1992-07-14,https://patents.google.com/patent/US5129665A/en
US6244483B1,Carrier device ,"Mclemore John D., Mclemore Don C.","John D. McLemore, Don C. McLemore",1999-08-25,1999-08-25,2001-06-12,2001-06-12,https://patents.google.com/patent/US6244483B1/en
US5244101A,Stainless-steel bicycle parking rack with lock protector ,"Palmer John D, Palmer Geoffrey D","John D. Palmer, Geoffrey D. Palmer",1992-03-30,1992-03-30,1993-09-14,1993-09-14,https://patents.google.com/patent/US5244101A/en
US20080072702A1,Bicycle handle-bar grip ,Rti Sports Vertrieb Von Sportartiken Gmbh,Franc Arnold,2003-08-25,2007-11-19,2008-03-27,,https://patents.google.com/patent/US20080072702A1/en
US5678435A,Bicycle locking mechanism ,Hodson; James M.,James M. Hodson,1995-08-14,1995-08-14,1997-10-21,1997-10-21,https://patents.google.com/patent/US5678435A/en
US7296815B2,Bicycle suspension apparatus and related method ,Anthony S. Ellsworth,"Anthony S. Ellsworth, Mike Kojima",1998-03-02,2005-08-01,2007-11-20,2007-11-20,https://patents.google.com/patent/US7296815B2/en
US4750754A,Bicycle and handlebar system ,Lennon Dan C,Dan C. Lennon,1987-01-09,1987-01-09,1988-06-14,1988-06-14,https://patents.google.com/patent/US4750754A/en
US3993174A,Hydraulic bicycle brake system ,Lynn A. Williams Engineering Company,"Lynn A. Williams, George P. Costello, Leonard R. Malkowski",1973-12-06,1974-04-11,1976-11-23,1976-11-23,https://patents.google.com/patent/US3993174A/en
US7013754B2,Bicycle pedal adapter ,Todd Milanowski,Todd Milanowski,2001-08-07,2003-04-16,2006-03-21,2006-03-21,https://patents.google.com/patent/US7013754B2/en
US5784931A,Bicycle pedal ,"Shimano, Inc.",Yutaka Ueda,1995-07-12,1996-07-08,1998-07-28,1998-07-28,https://patents.google.com/patent/US5784931A/en
US4219142A,Bicycle rack for autos ,Roger Macpherson,Roger Macpherson,1979-04-27,1979-04-27,1980-08-26,1980-08-26,https://patents.google.com/patent/US4219142A/en
US5056699A,Bicycle carrier ,"Bell Helmets, Inc.","Dixon Newbold, Ned Levine",1986-12-31,1990-09-07,1991-10-15,1991-10-15,https://patents.google.com/patent/US5056699A/en
US6482069B1,Radio controlled bicycle ,Leynian Ltd. Co.,"Neil Tilbor, Michael G. Hetman",2000-11-27,2000-11-27,2002-11-19,2002-11-19,https://patents.google.com/patent/US6482069B1/en
US6349800B1,Bicycle disc brake assembly ,Shimano Inc.,Yasushi Nakamura,2000-02-07,2000-02-07,2002-02-26,2002-02-26,https://patents.google.com/patent/US6349800B1/en
US8092329B2,Bicycle chain rings with ramps ,"Wick Werks, LLC","Christopher A. Wickliffe, Eldon Goates",2005-08-31,2008-09-18,2012-01-10,2012-01-10,https://patents.google.com/patent/US8092329B2/en
US4838544A,Exercise bicycle ,"Matsushita Electric Industrial Co., Ltd.","Kazumasa Sasakawa, Hisao Nishimura, Kensuke Fujiwaka",1987-06-23,1987-09-29,1989-06-13,1989-06-13,https://patents.google.com/patent/US4838544A/en
US5491390A,Electric propulsion system for a bicycle ,Mcgreen; James R.,James R. McGreen,1994-01-18,1994-01-18,1996-02-13,1996-02-13,https://patents.google.com/patent/US5491390A/en
US5190195A,Hitch mounted bicycle rack ,Reese Products,"Richard L. Fullhart, Steven L. Garatoni, David J. Troyer, Philip K. Hoopes, Jr.",1991-03-15,1991-03-15,1993-03-02,1993-03-02,https://patents.google.com/patent/US5190195A/en
US4437597A,Mounting apparatus for a dirt bike ,Doyle Richard H,Richard H. Doyle,1981-07-06,1981-07-06,1984-03-20,1984-03-20,https://patents.google.com/patent/US4437597A/en
US5597202A,Slung fabric bicycle seat ,Andersen; Scott,Scott Andersen,1994-01-21,1995-01-25,1997-01-28,1997-01-28,https://patents.google.com/patent/US5597202A/en
US7703788B2,Force channeling mountain bike rear suspension ,"Tanouye Ted K, Kang Alan H","Ted K. Tanouye, Alan H. Kang",2008-04-04,2008-04-04,2010-04-27,2010-04-27,https://patents.google.com/patent/US7703788B2/en
US6220991B1,Motorized exercise bike ,David H. Sellers,David H. Sellers,2000-01-22,2000-01-22,2001-04-24,2001-04-24,https://patents.google.com/patent/US6220991B1/en
US5406816A,Bicycle cooler and mounting apparatus ,Cycle Buddy Corp.,Jan B. Thomas,1992-07-31,1993-08-03,1995-04-18,1995-04-18,https://patents.google.com/patent/US5406816A/en
US3252537A,Motor bicycle frame arrangement providing a tubular fuel tank ,Microsound Inc,Phil K Tarran,1964-04-20,1964-04-20,1966-05-24,1966-05-24,https://patents.google.com/patent/US3252537A/en
US6155369A,Electric bicycle ,Whittaker; Ronald W.,Ronald W. Whittaker,1998-03-26,1998-03-26,2000-12-05,2000-12-05,https://patents.google.com/patent/US6155369A/en
US7025522B2,Adjustable bicycle seat post assembly ,"Wayne Sicz, Arlen Wisseman","Wayne Sicz, Arlen Wisseman",2003-04-18,2004-04-13,2006-04-11,2006-04-11,https://patents.google.com/patent/US7025522B2/en
US7261194B2,Bicycle suspension assembly with isolated inertia mass ,"Fox Factory, Inc.",Robert C. Fox,2001-08-30,2006-10-12,2007-08-28,2007-08-28,https://patents.google.com/patent/US7261194B2/en
US5695103A,Bike carrier ,"Reese Products, Inc.","Mark E. Duvernay, Richard McCoy",1996-09-20,1996-09-20,1997-12-09,1997-12-09,https://patents.google.com/patent/US5695103A/en
US5007675A,Fore-and-aft adjuster for bicycle seat ,"Musto Mario S, Davis Scott W","Mario S. Musto, Scott W. Davis",1989-07-14,1990-04-10,1991-04-16,1991-04-16,https://patents.google.com/patent/US5007675A/en
US5597225A,"Battery system for sustained bicycle pathway illumination, and methods ",Davis; Mckay H.,McKay H. Davis,1994-03-31,1995-11-13,1997-01-28,1997-01-28,https://patents.google.com/patent/US5597225A/en
US5560526A,Cycle rack and bike rack ,"Jantzen; Jerry E., Jantzen; Patricia L.","Jerry E. Jantzen, Patricia L. Jantzen",1995-03-06,1995-03-06,1996-10-01,1996-10-01,https://patents.google.com/patent/US5560526A/en
US8364389B2,Systems and methods for integrating a portable electronic device with a bicycle ,Apple Inc.,"Jesse L. Dorogusker, Anthony Fadell, Andrew Hodge, Allen P. Haughay, JR., Scott Krueger, James Eric Mason, Donald J. Novotney, Emily Clark Schubert, Policarpo Wood, Timothy Johnson",2009-02-02,2009-02-02,2013-01-29,2013-01-29,https://patents.google.com/patent/US8364389B2/en
US5555570A,Bicycle helmet face shield apparatus and method ,"Bay, Jr.; William P.","William P. Bay, Jr.",1995-03-31,1995-03-31,1996-09-17,1996-09-17,https://patents.google.com/patent/US5555570A/en
US4047731A,Bicycle frame ,Exxon Research And Engineering Company,Richard L. VanAuken,1976-09-10,1976-09-10,1977-09-13,1977-09-13,https://patents.google.com/patent/US4047731A/en
US5372169A,Bicycle cover ,"Norton; Merritt, Norton; Sigrid L.","Merritt Norton, Sigrid L. Norton",1994-03-29,1994-03-29,1994-12-13,1994-12-13,https://patents.google.com/patent/US5372169A/en
US8025597B2,Bicycle component position correcting device ,Shimano Inc.,Ryuichiro Takamoto,2008-02-20,2008-02-20,2011-09-27,2011-09-27,https://patents.google.com/patent/US8025597B2/en
US20100234185A1,Exercise bike ,"Nautilus, Inc.","Jonathan B. Watt, Kevin C. Andrews, Daniel S. Munson",2009-03-13,2010-03-12,2010-09-16,,https://patents.google.com/patent/US20100234185A1/en
US4768798A,Internal cable arrangement for bicycle frame ,"Reed Curtis H, Grove William D","Curtis H. Reed, William D. Grove",1987-04-03,1987-04-03,1988-09-06,1988-09-06,https://patents.google.com/patent/US4768798A/en
US5065603A,Tubular bicycle lock and method for mounting same ,Kloke Harrell F,Harrell F. Kloke,1990-04-26,1991-02-19,1991-11-19,1991-11-19,https://patents.google.com/patent/US5065603A/en
US3178196A,Ski bike ,Gino F Colace,Gino F Colace,1964-03-03,1964-03-03,1965-04-13,1965-04-13,https://patents.google.com/patent/US3178196A/en
US5549231A,Bicycle carrier for motor vehicles ,"Fletcher; James D., Harris; Terry L.","James D. Fletcher, Terry L. Harris",1994-01-24,1994-01-24,1996-08-27,1996-08-27,https://patents.google.com/patent/US5549231A/en
US6062451A,Pivot stop bicycle rack ,"Graber Products, Inc.","Todd W. Lassanske, John M. Bloemer",1998-07-15,1999-04-23,2000-05-16,2000-05-16,https://patents.google.com/patent/US6062451A/en
US3765581A,Bike carrier ,I Kosecoff,I Kosecoff,1972-07-10,1972-07-10,1973-10-16,1973-10-16,https://patents.google.com/patent/US3765581A/en
US6393940B1,Gap adjusting mechanism for bicycle pedal ,Shimano Inc.,Yutaka Ueda,1998-02-20,1998-02-20,2002-05-28,2002-05-28,https://patents.google.com/patent/US6393940B1/en
US5213555A,"Exercise equipment information, communication and display system ","Hood Robert L, Englehardt William H, Krch Russell W","Robert L. Hood, William H. Englehardt, Russell W. Krch",1990-02-27,1990-02-27,1993-05-25,1993-05-25,https://patents.google.com/patent/US5213555A/en
US6470591B2,Bicycle riding position measuring device ,John C. Rutkowski,John C. Rutkowski,2000-06-09,2001-06-11,2002-10-29,2002-10-29,https://patents.google.com/patent/US6470591B2/en
US4942936A,Electrohydraulic/air bike ,Gardner Elmer W Jr,"Elmer W. Gardner, Jr.",1988-02-12,1988-02-12,1990-07-24,1990-07-24,https://patents.google.com/patent/US4942936A/en
US20090181826A1,Electric bicycle with personal digital assistant ,Turner James R,James R. Turner,2008-01-14,2008-01-14,2009-07-16,,https://patents.google.com/patent/US20090181826A1/en
US8006574B2,Crankset based bicycle power measurement ,"Sram, Llc",James Meyer,2007-11-06,2008-06-20,2011-08-30,2011-08-30,https://patents.google.com/patent/US8006574B2/en
US6006973A,Hitch mounted cargo carrier bike rack adapter ,"Draw-Tite, Inc.","Jacob S. Belinky, David L. Rogers",1996-10-28,1997-10-24,1999-12-28,1999-12-28,https://patents.google.com/patent/US6006973A/en
US6401261B1,Sizing and stabilizing apparatus for bicycle helmets ,"Bell Sports, Inc.","Michel D. Arney, Andrew G. Zeigler, Thomas H. Burchard, Terrence K. Jones",1995-10-19,1999-03-29,2002-06-11,2002-06-11,https://patents.google.com/patent/US6401261B1/en
US5737967A,Pivoting handlebars ,Hartley; James T.,James T. Hartley,1993-05-27,1996-01-11,1998-04-14,1998-04-14,https://patents.google.com/patent/US5737967A/en
US6517095B1,Suspended front fork for mountain bike and motorcycle ,"Lansac Hervi, Franck Allard Latour","Hervè Lansac, Franck Allard Latour",1998-01-30,1999-01-29,2003-02-11,2003-02-11,https://patents.google.com/patent/US6517095B1/en
US8430414B1,Folding bicycle assembly ,Fook Fah Yap,Fook Fah Yap,2011-12-29,2012-04-04,2013-04-30,2013-04-30,https://patents.google.com/patent/US8430414B1/en
US7350797B2,Rear bicycle suspension ,Ryan Michael Carroll,Ryan Michael Carroll,2002-09-06,2005-03-16,2008-04-01,2008-04-01,https://patents.google.com/patent/US7350797B2/en
US4878397A,"Bicycle, handlebar and adapter system ",Lennon Dan C,Dan C. Lennon,1987-01-09,1988-03-28,1989-11-07,1989-11-07,https://patents.google.com/patent/US4878397A/en
US4450988A,Bicycle bag system ,Mark Meisel,Mark Meisel,1982-03-29,1982-03-29,1984-05-29,1984-05-29,https://patents.google.com/patent/US4450988A/en
US5921139A,Bicycle shift control device ,"Shimano, Inc.",Takuro Yamane,1996-05-30,1997-05-13,1999-07-13,1999-07-13,https://patents.google.com/patent/US5921139A/en
US6405771B1,Bicycle cover adapted for use with a vehicle-mounted bicycle rack ,"Randall J Mote, Phillip R Wilson, Mcwilliams Debra J","Randall J Mote, Phillip R Wilson, Debra J McWilliams",1999-06-01,1999-06-01,2002-06-18,2002-06-18,https://patents.google.com/patent/US6405771B1/en
US6354973B1,Chain guide apparatus for bicycle ,Robert L. Barnett,Robert L. Barnett,1999-11-16,1999-11-16,2002-03-12,2002-03-12,https://patents.google.com/patent/US6354973B1/en
US6095387A,Multipurpose carrier ,Lipscomb; Allen G.,Allen G. Lipscomb,1999-03-30,1999-03-30,2000-08-01,2000-08-01,https://patents.google.com/patent/US6095387A/en
US6994359B1,Snow-type bike ,Andrew George Silver,Andrew George Silver,1998-09-08,1999-09-08,2006-02-07,2006-02-07,https://patents.google.com/patent/US6994359B1/en
USD382925S,Exercise bike ,,Mu-Chuan Wu,,1996-06-18,1997-08-26,1997-08-26,https://patents.google.com/patent/USD382925S/en
EP2176117B1,Collapsible bicycle ,"Topeak, Inc.","Martin Hördum, Christian Bitsch",2007-08-09,2008-08-06,2011-03-16,2011-03-16,https://patents.google.com/patent/EP2176117B1/en
US5984528A,Bearing assembly for bicycle parts ,Shimano Inc.,Tomohiko Ohtsu,1998-07-01,1998-07-01,1999-11-16,1999-11-16,https://patents.google.com/patent/US5984528A/en
US20080156564A1,Electric horse(tm): battery powered electric motor bicycle drive train ,Kenneth Leroy Driessen,Kenneth Leroy Driessen,2006-12-29,2006-12-29,2008-07-03,,https://patents.google.com/patent/US20080156564A1/en
US7143912B2,Customizing pack carrier on wheels ,Mary Ann Caneba,Mary Ann Caneba,2000-10-16,2001-05-14,2006-12-05,2006-12-05,https://patents.google.com/patent/US7143912B2/en
US5593168A,Bicycle shock absorbing assembly ,Chou; Chi-Nan,Chi-nan Chou,1995-08-31,1995-08-31,1997-01-14,1997-01-14,https://patents.google.com/patent/US5593168A/en
US4051985A,Quick release child's bicycle seat ,Berger Irvin E,Irvin E. Berger,1975-12-01,1975-12-01,1977-10-04,1977-10-04,https://patents.google.com/patent/US4051985A/en
US5658119A,Vehicle-mounted bicycle support rack ,"Softride, Inc.","Ivor J. Allsop, Eivind Clausen",1989-08-23,1995-06-07,1997-08-19,1997-08-19,https://patents.google.com/patent/US5658119A/en
US20080318738A1,Crossover exercise recumbent bike ,Ming-Hsiung Chen,Ming-Hsiung Chen,2007-06-20,2007-06-20,2008-12-25,,https://patents.google.com/patent/US20080318738A1/en
US4887754A,Portable apparatus for retaining a bicycle ,"Answer Products, Inc., Yakima, Inc.","Scott M. Boyer, Steven J. Cole, Roger A. Gauvin, Joe C. Mitchell",1988-10-05,1988-10-05,1989-12-19,1989-12-19,https://patents.google.com/patent/US4887754A/en
US7052028B2,Frame assembly for a bicycle ,"Specialized Bicycle Componets, Inc.",Jason L. Chamberlain,2003-06-11,2003-06-11,2006-05-30,2006-05-30,https://patents.google.com/patent/US7052028B2/en
US5299992A,Combination stationary bicycle and step/stair climber exercise device ,Wilkinson William T,William T. Wilkinson,1992-01-21,1992-01-21,1994-04-05,1994-04-05,https://patents.google.com/patent/US5299992A/en
US3934666A,Bike booster ,Ellington Robert W,Robert W. Ellington,1974-01-02,1974-01-02,1976-01-27,1976-01-27,https://patents.google.com/patent/US3934666A/en
US5375865A,Multiple rider bicycle drive line system including multiple continuously variable transmissions ,"Terry, Sr.; Maurice C.","Maurice C. Terry, Sr.",1993-09-16,1993-09-16,1994-12-27,1994-12-27,https://patents.google.com/patent/US5375865A/en
US4834363A,Bicycle racing training apparatus ,Schwinn Bicycle Company,"Bruce A. Sargeant, Mark J. Hoffenberg, Rob Reasons, Robert A. Walpert",1987-05-26,1987-05-26,1989-05-30,1989-05-30,https://patents.google.com/patent/US4834363A/en
US4792150A,Bicycle frame ,Greendale Bicycle Company,"Mark L. Groendal, Robert E. Shook",1987-05-26,1987-05-26,1988-12-20,1988-12-20,https://patents.google.com/patent/US4792150A/en
US6264223B1,Passenger carrier for bicycle ,"Eunice R. Loewke, Daniel David Loewke","Eunice R. Loewke, Daniel David Loewke",2000-02-22,2000-02-22,2001-07-24,2001-07-24,https://patents.google.com/patent/US6264223B1/en
US20030074985A1,Sensor of the pedaling force of a power-assisting bike ,Gordon Liao,Gordon Liao,2001-10-22,2001-10-22,2003-04-24,,https://patents.google.com/patent/US20030074985A1/en
US5024119A,Bicycle handlebars ,Linden Paul R,Paul R. Linden,1986-05-28,1986-11-17,1991-06-18,1991-06-18,https://patents.google.com/patent/US5024119A/en
US6161855A,Two wheel drive bicycle ,"Christini Technologies, Inc.","Steven J. Christini, Michael J. Dunn, Jeremy T. Shook, Robert L. Pigeon, Louis J. Allora",1996-04-26,1999-09-16,2000-12-19,2000-12-19,https://patents.google.com/patent/US6161855A/en
US6257419B1,Versatile bicycle stand ,Jerry Kamysiak,Jerry Kamysiak,1998-11-19,1998-11-19,2001-07-10,2001-07-10,https://patents.google.com/patent/US6257419B1/en
US6094773A,Portable cleaning device for a mountain bike ,"Krentz; Douglas R., Krentz; Scott","Douglas R. Krentz, Scott Krentz",1998-04-20,1998-04-20,2000-08-01,2000-08-01,https://patents.google.com/patent/US6094773A/en
US6176546B1,Bicycle saddle ,George Edward Andrews,George Edward Andrews,1999-11-10,2000-01-15,2001-01-23,2001-01-23,https://patents.google.com/patent/US6176546B1/en
US1599223A,Tot bike ,Claude A Epps,Claude A Epps,1926-02-16,1926-02-16,1926-09-07,1926-09-07,https://patents.google.com/patent/US1599223A/en
US5624063A,Ride-ready bicycle carrier ,"Sport Carriers, Inc.",Richard Ireland,1996-03-14,1996-03-14,1997-04-29,1997-04-29,https://patents.google.com/patent/US5624063A/en
US5285696A,Bar end assembly attachable to the steerer bars of bicycle handlebar systems ,"Answer Products, Inc.",Arnold Taylor,1992-09-21,1992-09-21,1994-02-15,1994-02-15,https://patents.google.com/patent/US5285696A/en
USD579833S1,Ergonomic bike shifter ,Acenbrak Steven D,Steven D. Acenbrak,2007-04-30,2007-04-30,2008-11-04,2008-11-04,https://patents.google.com/patent/USD579833S1/en
US5031807A,Bicycle brief case ,Tiffany Todd D,Todd D. Tiffany,1990-06-04,1990-06-04,1991-07-16,1991-07-16,https://patents.google.com/patent/US5031807A/en
US6206151B1,Ventilated pad for a bicycle disc brake ,"Shimano, Inc.",Yasushi Nakamura,1999-04-17,1999-04-17,2001-03-27,2001-03-27,https://patents.google.com/patent/US6206151B1/en
US6253979B1,Suspension bicycle bag ,S. Lee Samson,S. Lee Samson,1999-07-29,1999-07-29,2001-07-03,2001-07-03,https://patents.google.com/patent/US6253979B1/en
US5664829A,Lightweight high strength bicycle seat post and associated clamp including seat angle indicating indicia ,"L.H. Thomson Company, Inc.","Loronzo Harold Thomson, Daniel Rudy Nietzold",1995-08-16,1995-08-16,1997-09-09,1997-09-09,https://patents.google.com/patent/US5664829A/en
US6626441B1,Bicycle ski link assembly ,"Winter-X-Bike, Inc.",Matthew C. Hanson,2001-07-18,2001-07-18,2003-09-30,2003-09-30,https://patents.google.com/patent/US6626441B1/en
US6725978B2,Cable joining system for cycles ,John Walter Karpowich,John Walter Karpowich,2002-06-05,2002-06-05,2004-04-27,2004-04-27,https://patents.google.com/patent/US6725978B2/en
US4461365A,Bicycle power pack ,Diggs Thomas M,Thomas M. Diggs,1981-12-21,1981-12-21,1984-07-24,1984-07-24,https://patents.google.com/patent/US4461365A/en
US4980667A,Motion sensitive bicycle alarm ,Steven Ames,Steven Ames,1989-10-16,1989-10-16,1990-12-25,1990-12-25,https://patents.google.com/patent/US4980667A/en
US5853184A,Handcycles ,"Lofgren; Michael S., Stewart; Brian C.","Michael S. Lofgren, Brian C. Stewart",1996-02-23,1996-02-23,1998-12-29,1998-12-29,https://patents.google.com/patent/US5853184A/en
US5390946A,Shifting clutch for dual-wheel driven bicycle ,Spicer; Eugene,Eugene Spicer,1993-07-07,1993-07-07,1995-02-21,1995-02-21,https://patents.google.com/patent/US5390946A/en
US20050039963A1,Motorized bicycle drive system using a standard freewheel and left-crank drive ,Forderhase Paul F.,Paul Forderhase,2003-05-20,2004-05-17,2005-02-24,,https://patents.google.com/patent/US20050039963A1/en
US20060150691A1,Bicycle locks that connect together for convenient storage ,Truss David A,David Truss,2005-01-12,2006-01-06,2006-07-13,,https://patents.google.com/patent/US20060150691A1/en
US20060189439A1,Programmed exercise bicycle with computer aided guidance ,"Mad Dogg Athletics, Inc.",John Baudhuin,2005-02-02,2005-02-02,2006-08-24,,https://patents.google.com/patent/US20060189439A1/en
US5238125A,Bicycle parking and storage rack ,Smith Terrance R,Terrance R. Smith,1992-09-22,1992-09-22,1993-08-24,1993-08-24,https://patents.google.com/patent/US5238125A/en
US5553881A,Bicycle rear suspension system ,"Outland Design Technologies, Inc.","James B. Klassen, Jamie W. Calon",1995-01-25,1995-01-25,1996-09-10,1996-09-10,https://patents.google.com/patent/US5553881A/en
US4089448A,Bicycle-ski rack for automobiles ,Traeger John L,John L. Traeger,1976-02-26,1976-02-26,1978-05-16,1978-05-16,https://patents.google.com/patent/US4089448A/en
US5067738A,Child powered bicycle trailer ,Connor Richard J O,Richard J. O'Connor,1990-06-21,1990-10-22,1991-11-26,1991-11-26,https://patents.google.com/patent/US5067738A/en
US5397146A,Bicycle frame protection device ,Fischer; David S.,David S. Fischer,1994-03-07,1994-03-07,1995-03-14,1995-03-14,https://patents.google.com/patent/US5397146A/en
US3581853A,Two-speed motor-bike drive ,Hoffco Inc,Stephen J Hoff,1969-04-21,1969-04-21,1971-06-01,1971-06-01,https://patents.google.com/patent/US3581853A/en
US3739609A,Bicycle lock ,E Kaufmann,E Kaufmann,1972-02-04,1972-02-04,1973-06-19,1973-06-19,https://patents.google.com/patent/US3739609A/en
US5221236A,Belt tensioning device for belt driven bicycle ,"Raymer Matthew C, Mollendor David T","Matthew C. Raymer, David T. Mollendor",1990-07-10,1992-05-04,1993-06-22,1993-06-22,https://patents.google.com/patent/US5221236A/en
US20010035446A1,Vehicle hitch-mounted bicycle carrier ,"Walstrom Todd R., Peschmann Joseph J.","Todd Walstrom, Joseph Peschmann",2000-05-17,2001-03-28,2001-11-01,,https://patents.google.com/patent/US20010035446A1/en
WO2007025984A1,Racing bicycle brake and brake device for racing bicycle brakes ,Canyon Bicycles Gmbh,Hans-Christian Smolik,2005-08-30,2006-08-30,2007-03-08,,https://patents.google.com/patent/WO2007025984A1/en
US4923203A,Composite bicycle frame with crossed tubular portions ,"Trimble Brent J, Trimble Richard H","Brent J. Trimble, Richard H. Trimble",1987-12-23,1987-12-23,1990-05-08,1990-05-08,https://patents.google.com/patent/US4923203A/en
USD526250S1,Elliptical bike ,"Altair Engineering, Inc.","James Trumble, Jos Timmermans",2005-01-27,2005-01-27,2006-08-08,2006-08-08,https://patents.google.com/patent/USD526250S1/en
US5547406A,Floatation device with propeller and rudder driven by a bicycle ,White; Robert D.,Robert D. White,1995-07-06,1995-07-06,1996-08-20,1996-08-20,https://patents.google.com/patent/US5547406A/en
US5029888A,Bicycle seat support ,"Allsop, Inc.","James D. Allsop, David E. Calapp",1989-04-07,1990-05-09,1991-07-09,1991-07-09,https://patents.google.com/patent/US5029888A/en
US5890995A,Interactive exercise apparatus ,"Tectrix Fitness Equipment, Inc.","Aaron F. Bobick, W. Thatcher Ulrich, J. Bryan Lewis, Eliot Shepard, Peter Lehman",1993-02-02,1998-02-04,1999-04-06,1999-04-06,https://patents.google.com/patent/US5890995A/en
US20060112780A1,Bicycle crank axle bearing assembly ,Shimano Inc.,"Shingo Shiraishi, Takuji Tatsumi",2004-11-29,2005-06-24,2006-06-01,,https://patents.google.com/patent/US20060112780A1/en
US5326124A,Bicycle water delivery apparatus ,Michael Allemang,Michael Allemang,1993-05-13,1993-05-13,1994-07-05,1994-07-05,https://patents.google.com/patent/US5326124A/en
US5423393A,Auxiliary engine assembly for a bicycle ,Felt; Robert M.,Robert M. Felt,1993-11-12,1993-11-12,1995-06-13,1995-06-13,https://patents.google.com/patent/US5423393A/en
US6717280B1,Bicycle based emergency battery charging system ,Francis Bienville,Francis Bienville,2000-02-28,2000-02-28,2004-04-06,2004-04-06,https://patents.google.com/patent/US6717280B1/en
US4969642A,Bicycle trainer ,Rts Trainer Corporation,Cal M. Phillips,1988-05-13,1990-01-04,1990-11-13,1990-11-13,https://patents.google.com/patent/US4969642A/en
US20020053581A1,Vehicle roof mounted bicycle carrier ,"Peschmann Joseph J., Morris Christopher M., Trowbridge Todd A., Gregg Bednorski","Joseph Peschmann, Christopher Morris, Todd Trowbridge, Gregg Bednorski",2000-11-08,2001-01-26,2002-05-09,,https://patents.google.com/patent/US20020053581A1/en
